pi,pi_window,issue_number,issue_title,issue_url,project,initiative,team,person,role,fte,obj_start,obj_end,pi_fraction,weighted_fte
PI 27.2,2027-01-17 to 2027-04-17,39,[ML]-[Objective 39]: Auth & access control,https://github.com/NASA-IMPACT/veda-github-actions/issues/39,CSDA,Water Insights,Data Services,Sam Okoro,ML,0.4,2026-10-18,2027-01-16,0.0,0.0
PI 27.2,2027-01-17 to 2027-04-17,39,[ML]-[Objective 39]: Auth & access control,https://github.com/NASA-IMPACT/veda-github-actions/issues/39,CSDA,Water Insights,Data Services,Sofia Rossi,PM,0.6,2026-10-18,2027-01-16,0.0,0.0
PI 27.2,2027-01-17 to 2027-04-17,40,[ML]-[Objective 40]: Data QA automation,https://github.com/NASA-IMPACT/veda-github-actions/issues/40,AQ Portal,Plugins,Plugins,Carla Diaz,Geospatial,0.3,2026-10-18,2027-01-16,0.0,0.0
PI 27.2,2027-01-17 to 2027-04-17,40,[ML]-[Objective 40]: Data QA automation,https://github.com/NASA-IMPACT/veda-github-actions/issues/40,AQ Portal,Plugins,Plugins,Devon Lee,Frontend,0.1,2026-10-18,2027-01-16,0.0,0.0
PI 27.2,2027-01-17 to 2027-04-17,40,[ML]-[Objective 40]: Data QA automation,https://github.com/NASA-IMPACT/veda-github-actions/issues/40,AQ Portal,Plugins,Plugins,Liam Walsh,Data Curator,0.8,2026-10-18,2027-01-16,0.0,0.0
PI 27.2,2027-01-17 to 2027-04-17,40,[ML]-[Objective 40]: Data QA automation,https://github.com/NASA-IMPACT/veda-github-actions/issues/40,AQ Portal,Plugins,Plugins,Morgan Reyes,Jupyterhub,0.8,2026-10-18,2027-01-16,0.0,0.0
PI 27.2,2027-01-17 to 2027-04-17,40,[ML]-[Objective 40]: Data QA automation,https://github.com/NASA-IMPACT/veda-github-actions/issues/40,AQ Portal,Plugins,Plugins,Nadia Hassan,Backend,0.1,2026-10-18,2027-01-16,0.0,0.0
PI 27.2,2027-01-17 to 2027-04-17,41,[Comms]-[Objective 41]: Tile server migration,https://github.com/NASA-IMPACT/veda-github-actions/issues/41,Disasters,CMS,ODD,Elena Petrova,Designer,0.4,2026-10-18,2027-01-16,0.0,0.0
PI 27.2,2027-01-17 to 2027-04-17,41,[Comms]-[Objective 41]: Tile server migration,https://github.com/NASA-IMPACT/veda-github-actions/issues/41,Disasters,CMS,ODD,Morgan Reyes,Jupyterhub,0.8,2026-10-18,2027-01-16,0.0,0.0
PI 27.2,2027-01-17 to 2027-04-17,41,[Comms]-[Objective 41]: Tile server migration,https://github.com/NASA-IMPACT/veda-github-actions/issues/41,Disasters,CMS,ODD,Sam Okoro,Data Curator,0.4,2026-10-18,2027-01-16,0.0,0.0
PI 27.2,2027-01-17 to 2027-04-17,42,[ML]-[Objective 42]: Metadata schema v3,https://github.com/NASA-IMPACT/veda-github-actions/issues/42,HLS,EIE,EIE,Carla Diaz,Geospatial,0.6,2026-10-18,2027-01-16,0.0,0.0
PI 27.2,2027-01-17 to 2027-04-17,42,[ML]-[Objective 42]: Metadata schema v3,https://github.com/NASA-IMPACT/veda-github-actions/issues/42,HLS,EIE,EIE,Devon Lee,Frontend,0.4,2026-10-18,2027-01-16,0.0,0.0
PI 27.2,2027-01-17 to 2027-04-17,42,[ML]-[Objective 42]: Metadata schema v3,https://github.com/NASA-IMPACT/veda-github-actions/issues/42,HLS,EIE,EIE,Nadia Hassan,Backend,0.25,2026-10-18,2027-01-16,0.0,0.0
PI 27.2,2027-01-17 to 2027-04-17,43,[ML]-[Objective 43]: Alerting pipeline,https://github.com/NASA-IMPACT/veda-github-actions/issues/43,MAAP,TiTiler-CMR,Front-end,Liam Walsh,Data Curator,0.4,2026-10-18,2027-01-16,0.0,0.0
PI 27.2,2027-01-17 to 2027-04-17,44,[Geospatial]-[Objective 44]: Cloud cost monitoring,https://github.com/NASA-IMPACT/veda-github-actions/issues/44,CSDA,Science Support,Back-end,Elena Petrova,Designer,0.4,2026-10-18,2027-01-16,0.0,0.0
PI 27.2,2027-01-17 to 2027-04-17,44,[Geospatial]-[Objective 44]: Cloud cost monitoring,https://github.com/NASA-IMPACT/veda-github-actions/issues/44,CSDA,Science Support,Back-end,Morgan Reyes,Jupyterhub,0.8,2026-10-18,2027-01-16,0.0,0.0
PI 27.2,2027-01-17 to 2027-04-17,44,[Geospatial]-[Objective 44]: Cloud cost monitoring,https://github.com/NASA-IMPACT/veda-github-actions/issues/44,CSDA,Science Support,Back-end,Rae Thompson,Frontend,0.25,2026-10-18,2027-01-16,0.0,0.0
PI 27.2,2027-01-17 to 2027-04-17,44,[Geospatial]-[Objective 44]: Cloud cost monitoring,https://github.com/NASA-IMPACT/veda-github-actions/issues/44,CSDA,Science Support,Back-end,Sam Okoro,Data Curator,0.75,2026-10-18,2027-01-16,0.0,0.0
PI 27.2,2027-01-17 to 2027-04-17,44,[Geospatial]-[Objective 44]: Cloud cost monitoring,https://github.com/NASA-IMPACT/veda-github-actions/issues/44,CSDA,Science Support,Back-end,Taylor Brooks,Comms,0.2,2026-10-18,2027-01-16,0.0,0.0
PI 27.2,2027-01-17 to 2027-04-17,45,[Comms]-[Objective 45]: Wildfire severity model,https://github.com/NASA-IMPACT/veda-github-actions/issues/45,AQ Portal,Cloud-Optimized R+D,Geospatial,Jordan Kim,Designer,0.1,2026-11-02,2027-01-06,0.0,0.0
PI 27.2,2027-01-17 to 2027-04-17,45,[Comms]-[Objective 45]: Wildfire severity model,https://github.com/NASA-IMPACT/veda-github-actions/issues/45,AQ Portal,Cloud-Optimized R+D,Geospatial,Nadia Hassan,Backend,0.1,2026-11-02,2027-01-06,0.0,0.0
PI 27.2,2027-01-17 to 2027-04-17,45,[Comms]-[Objective 45]: Wildfire severity model,https://github.com/NASA-IMPACT/veda-github-actions/issues/45,AQ Portal,Cloud-Optimized R+D,Geospatial,Rae Thompson,Frontend,0.25,2026-11-02,2027-01-06,0.0,0.0
PI 27.2,2027-01-17 to 2027-04-17,47,[Designer]-[Objective 47]: Onboarding revamp,https://github.com/NASA-IMPACT/veda-github-actions/issues/47,HLS,AIR4US,Plugins,Taylor Brooks,Comms,0.6,2026-10-18,2027-01-16,0.0,0.0
PI 27.2,2027-01-17 to 2027-04-17,48,[Geospatial]-[Objective 48]: STAC catalog buildout,https://github.com/NASA-IMPACT/veda-github-actions/issues/48,MAAP,Water Insights,ODD,Bob Martinez,Backend,0.3,2026-10-18,2027-01-16,0.0,0.0
PI 27.2,2027-01-17 to 2027-04-17,48,[Geospatial]-[Objective 48]: STAC catalog buildout,https://github.com/NASA-IMPACT/veda-github-actions/issues/48,MAAP,Water Insights,ODD,Devon Lee,Frontend,0.2,2026-10-18,2027-01-16,0.0,0.0
PI 27.2,2027-01-17 to 2027-04-17,48,[Geospatial]-[Objective 48]: STAC catalog buildout,https://github.com/NASA-IMPACT/veda-github-actions/issues/48,MAAP,Water Insights,ODD,Morgan Reyes,Jupyterhub,0.1,2026-10-18,2027-01-16,0.0,0.0
PI 27.2,2027-01-17 to 2027-04-17,48,[Geospatial]-[Objective 48]: STAC catalog buildout,https://github.com/NASA-IMPACT/veda-github-actions/issues/48,MAAP,Water Insights,ODD,Nadia Hassan,Backend,0.6,2026-10-18,2027-01-16,0.0,0.0
PI 27.2,2027-01-17 to 2027-04-17,49,[Backend]-[Objective 49]: Imagery mosaicking,https://github.com/NASA-IMPACT/veda-github-actions/issues/49,CSDA,Plugins,EIE,Alice Nguyen,Backend,0.75,2026-10-18,2027-01-16,0.0,0.0
PI 27.2,2027-01-17 to 2027-04-17,49,[Backend]-[Objective 49]: Imagery mosaicking,https://github.com/NASA-IMPACT/veda-github-actions/issues/49,CSDA,Plugins,EIE,Nadia Hassan,Backend,1.0,2026-10-18,2027-01-16,0.0,0.0
PI 27.2,2027-01-17 to 2027-04-17,49,[Backend]-[Objective 49]: Imagery mosaicking,https://github.com/NASA-IMPACT/veda-github-actions/issues/49,CSDA,Plugins,EIE,Priya Patel,Data Curator,0.8,2026-10-18,2027-01-16,0.0,0.0
PI 27.2,2027-01-17 to 2027-04-17,49,[Backend]-[Objective 49]: Imagery mosaicking,https://github.com/NASA-IMPACT/veda-github-actions/issues/49,CSDA,Plugins,EIE,Sofia Rossi,PM,0.5,2026-10-18,2027-01-16,0.0,0.0
PI 27.2,2027-01-17 to 2027-04-17,49,[Backend]-[Objective 49]: Imagery mosaicking,https://github.com/NASA-IMPACT/veda-github-actions/issues/49,CSDA,Plugins,EIE,Taylor Brooks,Comms,0.75,2026-10-18,2027-01-16,0.0,0.0
PI 27.2,2027-01-17 to 2027-04-17,50,[Designer]-[Objective 50]: Latency profiling,https://github.com/NASA-IMPACT/veda-github-actions/issues/50,AQ Portal,CMS,Front-end,Bob Martinez,Backend,0.8,2026-10-18,2027-01-16,0.0,0.0
PI 27.2,2027-01-17 to 2027-04-17,50,[Designer]-[Objective 50]: Latency profiling,https://github.com/NASA-IMPACT/veda-github-actions/issues/50,AQ Portal,CMS,Front-end,Elena Petrova,Designer,0.75,2026-10-18,2027-01-16,0.0,0.0
PI 27.2,2027-01-17 to 2027-04-17,50,[Designer]-[Objective 50]: Latency profiling,https://github.com/NASA-IMPACT/veda-github-actions/issues/50,AQ Portal,CMS,Front-end,Morgan Reyes,Jupyterhub,0.75,2026-10-18,2027-01-16,0.0,0.0
PI 27.2,2027-01-17 to 2027-04-17,50,[Designer]-[Objective 50]: Latency profiling,https://github.com/NASA-IMPACT/veda-github-actions/issues/50,AQ Portal,CMS,Front-end,Priya Patel,PM,0.3,2026-10-18,2027-01-16,0.0,0.0
PI 27.2,2027-01-17 to 2027-04-17,50,[Designer]-[Objective 50]: Latency profiling,https://github.com/NASA-IMPACT/veda-github-actions/issues/50,AQ Portal,CMS,Front-end,Rae Thompson,Frontend,0.4,2026-10-18,2027-01-16,0.0,0.0
